                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3334,                 1.4154,                 1.4325,                0.75853,                0.57286,                0.61823,                0.35342,                 1.5919,                 1.4526,                 1.6938,             0.00047771,             0.00047771,             0.00047771
                     46,                 1.3135,                 1.3896,                 1.4176,                 0.6615,                0.60895,                0.61133,                0.35719,                 1.5834,                 1.4043,                 1.6953,              0.0004733,              0.0004733,              0.0004733
                     47,                 1.3163,                 1.3682,                 1.4121,                0.82389,                0.55596,                0.61969,                0.36025,                 1.5966,                 1.4261,                 1.7069,              0.0004689,              0.0004689,              0.0004689
                     48,                 1.3185,                 1.3623,                 1.4138,                0.73639,                0.59113,                0.64847,                0.36963,                 1.5684,                 1.4068,                  1.686,              0.0004645,              0.0004645,              0.0004645
                     49,                 1.2985,                  1.363,                 1.4085,                 0.7217,                 0.5895,                0.62907,                0.35254,                  1.614,                 1.4072,                 1.7142,              0.0004601,              0.0004601,              0.0004601
                     50,                 1.3066,                 1.3528,                 1.4129,                0.72411,                0.55744,                 0.6366,                0.36344,                 1.6119,                 1.3983,                 1.7235,             0.00045569,             0.00045569,             0.00045569
                     51,                 1.3042,                 1.3174,                 1.4006,                0.74892,                0.61182,                0.64306,                0.36665,                 1.5912,                 1.3534,                 1.7064,             0.00045129,             0.00045129,             0.00045129
                     52,                 1.2939,                 1.3334,                 1.3909,                0.60116,                0.62267,                0.62434,                  0.361,                 1.6289,                 1.3878,                 1.7249,             0.00044689,             0.00044689,             0.00044689
                     53,                 1.2945,                 1.3189,                 1.3939,                0.74195,                0.58324,                0.64709,                0.36919,                  1.611,                 1.3768,                 1.7215,             0.00044249,             0.00044249,             0.00044249
                     54,                 1.2618,                  1.286,                  1.379,                0.74491,                0.60856,                0.63717,                0.38116,                 1.5721,                 1.3765,                 1.7049,             0.00043809,             0.00043809,             0.00043809
                     55,                 1.2834,                 1.3044,                 1.3971,                0.70598,                  0.631,                0.64167,                0.37292,                 1.6048,                  1.378,                 1.7407,             0.00043368,             0.00043368,             0.00043368
                     56,                 1.2656,                 1.2921,                 1.3789,                0.65952,                0.67547,                0.66629,                 0.3708,                 1.5914,                 1.3202,                 1.7127,             0.00042928,             0.00042928,             0.00042928
                     57,                  1.274,                 1.2865,                 1.3814,                0.61578,                0.62228,                0.64821,                0.37118,                 1.6048,                 1.3642,                 1.7158,             0.00042488,             0.00042488,             0.00042488
                     58,                 1.2706,                 1.2723,                 1.3819,                0.73149,                0.61626,                0.65931,                0.37446,                 1.5924,                 1.3378,                 1.7119,             0.00042048,             0.00042048,             0.00042048
                     59,                 1.2768,                 1.2507,                 1.3737,                0.61734,                0.60878,                0.62323,                0.36561,                   1.61,                 1.3417,                 1.7095,             0.00041607,             0.00041607,             0.00041607
                     60,                 1.2758,                 1.2631,                 1.3846,                0.68205,                0.62863,                0.63706,                 0.3613,                 1.5755,                 1.3626,                 1.6998,             0.00041167,             0.00041167,             0.00041167
                     61,                 1.2434,                 1.2342,                  1.357,                0.64791,                0.61584,                 0.6406,                0.37945,                 1.5766,                 1.3386,                 1.6981,             0.00040727,             0.00040727,             0.00040727
                     62,                 1.2568,                  1.247,                 1.3666,                0.71526,                0.58002,                0.66041,                0.37555,                 1.5757,                 1.3217,                 1.7084,             0.00040287,             0.00040287,             0.00040287
                     63,                 1.2555,                 1.2528,                 1.3732,                0.72994,                0.64798,                0.66249,                0.36911,                 1.6145,                  1.327,                 1.7265,             0.00039847,             0.00039847,             0.00039847
                     64,                 1.2501,                 1.2206,                 1.3661,                0.71161,                0.60061,                0.66195,                0.37668,                 1.6005,                 1.3089,                 1.7221,             0.00039406,             0.00039406,             0.00039406
                     65,                 1.2337,                 1.2094,                 1.3497,                0.65697,                 0.6248,                0.66086,                0.37507,                 1.5727,                 1.3083,                 1.7052,             0.00038966,             0.00038966,             0.00038966
                     66,                 1.2278,                 1.2088,                 1.3437,                0.70488,                0.59514,                0.67064,                0.39313,                 1.5758,                 1.3188,                  1.704,             0.00038526,             0.00038526,             0.00038526
                     67,                 1.2338,                 1.1936,                 1.3437,                0.74542,                0.62268,                0.67626,                0.39691,                 1.6204,                 1.2868,                 1.7184,             0.00038086,             0.00038086,             0.00038086
                     68,                 1.2208,                 1.1748,                 1.3426,                0.73739,                0.65133,                0.66584,                0.38208,                 1.6101,                 1.3337,                   1.73,             0.00037645,             0.00037645,             0.00037645
                     69,                 1.2115,                  1.168,                 1.3436,                0.67438,                0.66606,                0.66964,                0.39336,                 1.5454,                 1.2786,                 1.6836,             0.00037205,             0.00037205,             0.00037205
                     70,                 1.2391,                  1.182,                 1.3456,                0.66764,                0.64739,                0.64631,                0.38366,                 1.5648,                 1.3321,                   1.69,             0.00036765,             0.00036765,             0.00036765
                     71,                 1.2001,                  1.148,                 1.3305,                 0.7149,                0.58463,                 0.6481,                0.37969,                 1.5943,                 1.3235,                 1.6989,             0.00036325,             0.00036325,             0.00036325
                     72,                 1.2062,                 1.1654,                 1.3418,                0.77166,                0.65418,                0.70304,                0.40741,                 1.5773,                 1.2811,                 1.6961,             0.00035885,             0.00035885,             0.00035885
                     73,                 1.1924,                 1.1415,                 1.3298,                0.75357,                0.63917,                0.66202,                0.38706,                 1.5754,                 1.3037,                 1.7047,             0.00035444,             0.00035444,             0.00035444
                     74,                 1.1863,                 1.1402,                 1.3262,                0.70637,                0.66758,                0.70231,                0.40463,                 1.5734,                   1.28,                 1.7041,             0.00035004,             0.00035004,             0.00035004
                     75,                 1.1779,                 1.1211,                 1.3023,                0.68741,                0.65943,                0.67952,                0.39714,                 1.5623,                 1.2818,                 1.7076,             0.00034564,             0.00034564,             0.00034564
                     76,                 1.1729,                 1.0969,                 1.3063,                0.71884,                0.65807,                0.66891,                0.38792,                 1.5696,                 1.2584,                 1.7025,             0.00034124,             0.00034124,             0.00034124
                     77,                 1.1748,                 1.1139,                 1.3073,                0.68613,                0.64686,                0.68261,                0.39701,                 1.5824,                 1.2438,                  1.722,             0.00033683,             0.00033683,             0.00033683
                     78,                  1.164,                 1.1083,                 1.3032,                0.76615,                0.68249,                0.69769,                0.39663,                 1.5669,                 1.2559,                 1.6999,             0.00033243,             0.00033243,             0.00033243
                     79,                 1.1568,                 1.0856,                 1.3077,                0.73052,                 0.6649,                0.66757,                0.38636,                 1.5752,                 1.2662,                 1.7192,             0.00032803,             0.00032803,             0.00032803
                     80,                 1.1728,                 1.0861,                 1.3071,                0.67231,                0.68298,                0.68998,                0.40833,                  1.584,                 1.2249,                 1.7277,             0.00032363,             0.00032363,             0.00032363
                     81,                 1.1542,                 1.0891,                 1.2948,                0.78897,                0.65299,                0.69133,                0.40639,                 1.5873,                 1.2419,                 1.7085,             0.00031923,             0.00031923,             0.00031923
                     82,                 1.1608,                 1.0789,                 1.2975,                0.71253,                0.64027,                 0.6774,                0.38981,                 1.5897,                 1.2954,                 1.7132,             0.00031482,             0.00031482,             0.00031482
                     83,                  1.161,                 1.0922,                 1.3018,                0.68881,                0.64274,                0.67283,                0.40433,                 1.5736,                 1.2504,                 1.7086,             0.00031042,             0.00031042,             0.00031042
                     84,                 1.1354,                 1.0434,                 1.2812,                0.71897,                0.59656,                0.67646,                 0.3946,                 1.5693,                 1.2399,                 1.7069,             0.00030602,             0.00030602,             0.00030602
                     85,                 1.1455,                 1.0577,                 1.2853,                0.72839,                0.66512,                0.67259,                 0.3919,                 1.5692,                 1.2729,                 1.6949,             0.00030162,             0.00030162,             0.00030162
                     86,                  1.149,                 1.0511,                 1.2855,                0.77974,                0.61628,                0.66676,                0.39585,                 1.5617,                 1.2732,                 1.7057,             0.00029722,             0.00029722,             0.00029722
                     87,                 1.1395,                 1.0531,                 1.2773,                0.74285,                0.62185,                0.66735,                0.38934,                 1.5724,                 1.2766,                 1.7108,             0.00029281,             0.00029281,             0.00029281
                     88,                 1.1236,                 1.0402,                 1.2771,                0.74353,                0.64667,                0.68245,                0.40039,                 1.5837,                 1.2722,                 1.7208,             0.00028841,             0.00028841,             0.00028841
                     89,                 1.1411,                  1.026,                 1.2704,                0.75252,                0.66921,                  0.701,                0.41168,                  1.588,                 1.2619,                 1.7209,             0.00028401,             0.00028401,             0.00028401
                     90,                 1.1338,                 1.0329,                 1.2798,                0.74816,                0.63491,                 0.6936,                0.40383,                 1.5795,                 1.2274,                 1.7181,             0.00027961,             0.00027961,             0.00027961
                     91,                 1.1144,                 1.0114,                 1.2716,                0.81572,                 0.6509,                0.72563,                0.41051,                 1.6071,                 1.2619,                 1.7309,              0.0002752,              0.0002752,              0.0002752
                     92,                 1.1152,                 1.0032,                 1.2584,                0.75196,                0.66909,                  0.719,                0.40919,                 1.5877,                  1.243,                 1.7328,              0.0002708,              0.0002708,              0.0002708
                     93,                 1.1166,                 1.0071,                 1.2612,                0.74126,                 0.6975,                0.73343,                0.42645,                 1.5812,                 1.2184,                 1.7335,              0.0002664,              0.0002664,              0.0002664
                     94,                 1.0964,                0.98673,                 1.2569,                0.72314,                0.66347,                0.71022,                0.39894,                 1.5878,                 1.2457,                 1.7543,               0.000262,               0.000262,               0.000262
                     95,                 1.1129,                 1.0079,                 1.2656,                0.71984,                0.65204,                0.70423,                0.40741,                 1.5782,                 1.2508,                 1.7255,              0.0002576,              0.0002576,              0.0002576
                     96,                 1.1057,                0.98876,                 1.2594,                0.74069,                0.65142,                0.69815,                 0.4108,                 1.5791,                 1.2302,                 1.7216,             0.00025319,             0.00025319,             0.00025319
